ID,logFC,t,Rank_FC,Rank_t,Normed_FC,Normed_t
CHAC1,1.632882666666669,20.38944821344382,1,1,100,100
DDIT4,1.5165296666666688,19.143096324224736,0.9998496127528386,0.9999248063764192,94.79526714777705,95.48692249375395
INHBE,1.5517413333333332,13.512953083236187,0.9999248063764192,0.9998496127528386,96.37036463801377,75.10000525341577
ASNS,0.8112766666666698,12.554287865189329,0.9996240318820964,0.9997744191292578,63.2477053468026,71.62864979673283
ATF3,0.7680203333333342,11.34615218900846,0.9994736446349349,0.9996992255056771,61.31275172148379,67.25395434207958
SLC7A11,0.8711526666666671,10.890254476553755,0.9996992255056771,0.9996240318820964,65.92609425177012,65.6031350758469
STC2,0.768453333333337,10.844143486627061,0.9995488382585157,0.9995488382585157,61.33212079082474,65.43616580077381
CTH,1.1793503333333346,10.588315291036205,0.9997744191292578,0.9994736446349349,79.71247295002853,64.50980424512356
HMOX1,0.69085333333333665,9.310824820839906,0.9992480637641928,0.9993984510113543,57.860897278474376,59.8839730048797
PCK2,0.7428326666666658,8.663126382629528,0.9993232573877735,0.9993232573877735,60.1860504231,57.538637568232296
CEBPB,0.635366666666668,8.29059251093236,0.9988720956462892,0.9992480637641928,55.37885318111243,56.189681265269854
SLC1A4,0.5058126666666674,7.806525947701699,0.9978193849161591,0.9991728701406121,49.583609741434095,54.4368617470109
TSC22D3,0.6348923333333314,7.67769480264887,0.9987969020227084,0.9990976765170314,55.357635178285506,53.97036031361062
PSPH,0.6337050000000026,7.637091546883238,0.9987217083991278,0.9990224828934506,55.30452307282613,53.82333470883456
GDF15,0.6881133333333338,7.226279535207581,0.9991728701406121,0.9989472892698699,57.73833088125981,52.33577211497453
HERPUD1,0.5168400000000002,7.183926938293381,0.998120159410482,0.9988720956462892,50.07688730258344,52.182412093524775
EGR1,0.4675333333333338,6.970936140885973,0.9972930295510941,0.9987969020227084,47.87128858288043,51.411166039235034
CFHR1///CFH,0.6460800000000022,6.940785875649242,0.9989472892698699,0.9987217083991278,55.85808481207012,51.30199102612336
MTHFD2,0.541406666666667,6.913885578380161,0.9984209339048049,0.998646514775547,51.17580986641601,51.20458424432558
PMAIP1,0.5273483333333377,6.850492571108395,0.9983457402812241,0.9985713211519663,50.546948819881074,50.975036267027804
TXNIP,0.4777166666666659,6.578392485703933,0.9974434167982555,0.9984961275283856,48.32681211510676,49.98975371118724
SLC38A2,0.673883333333336,6.409299140354562,0.9990976765170314,0.9984209339048049,57.1017907964565,49.37746164507556
DDIT3,0.6043436666666668,6.339988755258302,0.998646514775547,0.9983457402812241,53.99112422462211,49.12648666551086
ZFP69B,0.46897166666666656,6.238818220965663,0.9973682231746748,0.9982705466576435,47.93562848604102,48.76014513182322
KLF4,0.7596583333333315,6.143691337756793,0.9993984510113543,0.9981953530340627,60.93870054867088,48.41568783965493
CFH,0.44380833333333225,5.955431704251009,0.9966914805624483,0.998120159410482,46.81001567269335,47.73399407029624
CALCB,0.5165609999999998,5.613779170060162,0.9980449657869013,0.9980449657869013,50.0644070015532,46.49686001502172
TRIB3,0.3617200000000036,5.56435095113991,0.994059703737123,0.9979697721633205,43.138018858823465,46.31787895444615
XBP1,0.5092126666666719,5.546205737251532,0.9978945785397398,0.9978945785397398,49.735699431408406,46.25217459169434
FYN,0.46031866666666676,5.544989619184095,0.9969922550567711,0.9978193849161591,47.54856022505691,46.24777099176195
KDM4A,0.46438800000000136,5.474427623311831,0.9971426423039327,0.9977441912925784,47.7305907089005,45.99226389210451
MAF,0.523806000000004,5.375471709676577,0.9981953530340627,0.9976689976689976,50.38849223798352,45.63394156612232
SLC3A2,0.3955480000000051,5.32946290456593,0.9954883825851568,0.997593804045417,44.65122180954244,45.4673423053275
AGT,0.5031213333333344,5.3045393628576,0.9977441912925784,0.9975186104218362,49.46322031429185,45.37709341459863
SLC16A4,0.4089219999999987,5.235538942414434,0.9957891570794797,0.9974434167982555,45.24947107828151,45.12724082632303
SCG2,0.5781963333333362,5.230648520408047,0.9984961275283856,0.9973682231746748,52.82149486570563,45.10953246182021
CFI,0.407842333333333,5.1899956085782595,0.9957139634558989,0.9972930295510941,45.20117514633781,44.96232705094915
ASS1,0.3467086666666699,5.137858064038162,0.9929317993834123,0.9972178359275133,42.466527966833816,44.77353544118776
CTSO,0.35296266666666654,5.027523794780236,0.9935333483720581,0.9971426423039327,42.746283531862524,44.37401174883148
MIR4680///PDCD4,0.3733993333333334,4.917690962284131,0.9945108654786075,0.9970674486803519,43.66046185463831,43.97630377400261
AKR1C1,0.37858833333333397,4.915933846207035,0.9948116399729303,0.9969922550567711,43.89257756089588,43.96994120407994
PAIP2B,0.3506050000000016,4.904348496394916,0.9933077675013159,0.9969170614331905,42.640819769393296,43.927990305548526
GOT1,0.3495579999999965,4.902689759177724,0.9932325738777351,0.9968418678096097,42.593985091333394,43.92198396842299
CEBPG,0.3380900000000011,4.899354918225774,0.9920294759004437,0.996766674186029,42.08099551350326,43.9099084094919
RSL24D1,0.3367433333333345,4.891855563520894,0.9918790886532822,0.9966914805624483,42.02075606767038,43.8827530215772
LARP6,0.3143713333333338,4.879930626981898,0.9889465373336341,0.9966162869388676,41.02000590764068,43.83957246934065
VAV3,0.33931300000000064,4.872912753425392,0.9921798631476051,0.9965410933152868,42.13570306963217,43.814160539079616
TRIB1,0.3379186666666669,4.804684123028535,0.9919542822768629,0.9964658996917062,42.073331385988844,43.567102625668845
VLDLR,0.4246636666666692,4.752683539724758,0.996240318820964,0.9963907060681254,45.953631432107905,43.37880695664475
NUPR1,0.5846533333333319,4.6370563015929385,0.9985713211519663,0.9963155124445447,53.110331079870974,42.96011726552628
MBNL2,0.3474583333333303,4.59806951656361,0.993006993006993,0.996240318820964,42.500062252397434,42.818944949682994
SPINK1,0.4227093333333345,4.568443557115697,0.9961651251973833,0.9961651251973833,45.86620968188056,42.71166846353019
IFRD1,0.29770866666666507,4.547714574754686,0.9866155350026318,0.9960899315738025,40.274647140736086,42.636608197781754
SARS,0.3214766666666655,4.529803701778166,0.9900744416873449,0.9960147379502218,41.33784353817867,42.571752390487866
NR1H4,0.31713733333333316,4.516393497701564,0.9895480863222799,0.9959395443266411,41.14373534366077,42.5231936400292
SLC1A5,0.3127383333333338,4.494054043090175,0.9887961500864727,0.9958643507030603,40.946958124191354,42.44230180604511
CCNG2,0.3830546666666699,4.477449185508826,0.9949620272200917,0.9957891570794797,44.092366752657085,42.38217511959883
PBLD,0.3527149999999999,4.462060281688649,0.9933829611248967,0.9957139634558989,42.73520484170068,42.32645143812703
C1QTNF3-AMACR///AMACR,0.33355766666666753,4.460751340891164,0.99165350778254,0.9956387698323182,41.87825399246619,42.32171172431006
SPX,0.3494193333333335,4.44919647698393,0.9931573802541545,0.9955635762087375,42.58778221770324,42.27987121615297
HES1,0.34937133333333215,4.388474994308757,0.9930821866305737,0.9954883825851568,42.58563506913884,42.05999690940406
DNASE2,0.30263633333333395,4.384184634346992,0.9872170839912775,0.995413188961576,40.49507281592122,42.04446138753048
JAG1,0.3226200000000006,4.380870427594658,0.990300022558087,0.9953379953379954,41.38898742412103,42.03246054565398
CCDC28A,0.282331666666666,4.376184893426746,0.984134145424468,0.9952628017144146,39.58679915169732,42.01549408614855
PBXIP1,0.3414360000000016,4.357892757733574,0.9925558312655087,0.9951876080908338,42.23066966134252,41.94925771514278
GARS,0.3025933333333377,4.336935863152465,0.9871418903676968,0.9951124144672532,40.49314932866583,41.873372172421746
GABARAPL1,0.3233390000000007,4.326602893671371,0.9905256034288292,0.9950372208436724,41.42114992032438,41.83595618056486
SMPDL3A,0.35810433333333513,4.2935557826958926,0.9936837356192195,0.9949620272200917,42.97628191106366,41.71629160230253
NBR1,0.3289266666666677,4.26072807912456,0.9910519587938943,0.994886833596511,41.67109888826911,41.59742150481961
EXPH5,0.4331036666666668,4.250663707478432,0.9964658996917062,0.9948116399729303,46.33117172133765,41.560978113764854
LOC728392,0.4901049999999998,4.235946359237961,0.9975186104218362,0.9947364463493495,48.88097028450757,41.50768615515334
EVI2A,0.307235666666668,4.233453786181833,0.9879690202270848,0.9946612527257689,40.700811398496036,41.49866047349025
ATF4,0.2727033333333342,4.225308672741611,0.9815023685991427,0.9945860591021881,39.15610202474619,41.46916677386106
