ID,logFC,t,Rank_FC,Rank_t,Normed_FC,Normed_t
FLNC,1.6825541014494032,19.49214447534265,0.9943048576214405,1,69.83145007332624,100
MCAM,1.5032027545220652,15.992003116612691,0.992964824120603,0.9999329983249581,68.27051966787732,90.1478100670269
LRRN4,1.8496467632604143,14.292762805569794,0.9959798994974874,0.9998659966499163,71.28569070667854,85.3647923056432
IL27RA,1.2047711564245418,14.248524773461222,0.9873366834170855,0.9997989949748743,65.67321017788579,85.24027119351511
P2RX5-TAX1BP3,5.1489290566079315,13.74845886780182,1,0.9997319932998325,100,83.83268682002331
REEP2,1.2387531919198964,13.73370564637999,0.988140703517588,0.9996649916247906,65.96896258427967,83.79115948593193
SLC44A2,0.9939164826858846,12.474898483240894,0.9797654941373535,0.9995979899497487,63.83810006018468,80.24787194718704
MAPT,1.717315020328809,12.11451640668414,0.9946398659966499,0.9995309882747069,70.13398125655837,79.2334692980424
VWA1,1.0441396702676942,11.97188690028504,0.982177554438861,0.999463986599665,64.27520243994417,78.83199608794325
MSLN,1.2885784480513962,11.467794699264356,0.9892797319932999,0.9993969849246231,66.40260168756697,77.4130785074292
MPP2,1.5248675494175397,11.279076046447056,0.9931658291457286,0.9993299832495812,68.45907268216753,76.88187367285488
MDFIC,1.0825327998440892,10.931336082326334,0.9839195979899498,0.9992629815745394,64.60934547451204,75.90305601303163
CLSTN1,0.7876736884770228,10.89716660022558,0.9656951423785595,0.9991959798994975,62.04312804630968,75.80687583255742
SPATA41,1.3393384419308698,10.709237528867957,0.9905527638190955,0.9991289782244556,66.84437599918655,75.27789351007934
NUDT8,0.8037214226002283,10.542428271081327,0.9671021775544388,0.9990619765494138,62.18279466471327,74.80835919078874
NKX2-8,2.979862111306545,10.38808772878894,0.9992629815745394,0.9989949748743718,81.12217942948126,74.3739217835023
ARHGAP23,0.6991273795628494,10.277570372054218,0.9553098827470686,0.99892797319933,61.27249192763921,74.06283777921632
ARHGDIA,0.8019947302781283,10.198009685115421,0.9669681742043551,0.9988609715242881,62.16776691837852,73.83889053863881
KCNH1,1.7310172655378127,10.1892904673301,0.9948408710217755,0.9987939698492462,70.25323461894499,73.81434770425479
LAMB3,1.000467308871272,10.110786456384536,0.9802345058626466,0.9987269681742044,63.895113201980166,73.59337479285885
LARP1,0.80770496662453,10.1022188062419,0.967571189279732,0.9986599664991624,62.21746423979874,73.56925859073063
MGLL,0.7768053551400662,10.098250968571008,0.9644221105527638,0.9985929648241206,61.94853878198102,73.55808993028229
HAGHL,0.6752918418829408,9.963531774083917,0.9517587939698492,0.9985259631490787,61.06504650761754,73.17888264815538
SDHA,0.6943197452359655,9.870989294092842,0.9545058626465661,0.9984589614740369,61.23065013092187,72.91839428603069
AP1M1,0.7300683936550341,9.787849241592385,0.9585929648241206,0.998391959798995,61.5417777205777,72.68437185541403
PPP1CA,0.6794979440794986,9.734481843092189,0.9522948073701842,0.998324958123953,61.10165305069353,72.53415342353809
ARHGEF5,0.9352129555989711,9.717550052178387,0.9772194304857621,0.9982579564489112,63.32719160085662,72.48649385699741
LRRC20,2.7176592758394533,9.689819279115762,0.9985929648241206,0.9981909547738693,78.84017605851513,72.40843734007424
ABCA3,1.0598039785842825,9.671398107518652,0.982713567839196,0.9981239530988275,64.41153202737456,72.35658546817486
ITGB2,1.7908481679881274,9.61680368836519,0.9953768844221106,0.9980569514237856,70.77395485004523,72.20291322135583
CDT1,0.688380902729163,9.499971192943072,0.9539028475711893,0.9979899497487437,61.178963204668705,71.87405337906088
DLK2,1.682795399924705,9.411363564990774,0.9943718592964824,0.9979229480737019,69.83355014189745,71.62464082950231
NKX2-1-AS1,2.8653769940800804,9.396792783360063,0.9988609715242881,0.9978559463986599,80.1257927086022,71.58362702651986
LPAR5,1.0290551979944786,9.327141429004586,0.9813065326633166,0.9977889447236181,64.14391928079984,71.387572552752
ACTB,0.7611671271617109,9.324972919677775,0.9624790619765494,0.9977219430485762,61.81243617691587,71.38146863763272
FAHD2B,0.7749157219065403,9.324011752684468,0.9642881072026801,0.9976549413735344,61.93209292852138,71.37876314696683
VAMP5,1.261748289469766,9.202147760839788,0.9884757118927974,0.9975879396984925,66.16909348687277,71.0357406599894
CHST3,0.8454758846304724,9.136183012449063,0.9699162479061977,0.9975209380234505,62.5461920434493,70.85006323630328
PDAP1,0.774476637328358,9.129997238791448,0.9640871021775544,0.9974539363484087,61.928271488201084,70.8326515346858
FST,1.3623692272043426,9.124591908502122,0.9910217755443886,0.9973869346733668,67.04481749912853,70.81743662328572
MAFB,1.4699156111234473,9.11363687992534,0.9925628140703517,0.997319932998325,67.98081504546101,70.78660043377283
HES6,1.2630875250566858,9.084219523449462,0.9886097152428811,0.9972529313232831,66.18074912026218,70.70379652569541
PTPRF,0.6772706614713639,9.075613494102639,0.9520938023450586,0.9971859296482412,61.082268567643204,70.67957229387055
UNC13D,0.7460313853287053,9.017528606045312,0.9607370184254607,0.9971189279731993,61.680706808606544,70.51607508312249
SART1,0.6469404328555104,8.96205552731331,0.9461976549413735,0.9970519262981574,60.81829856205477,70.35992958732092
CAVIN1,0.7274903320493262,8.88751777193498,0.9581909547738694,0.9969849246231156,61.51934033821947,70.15012088307154
ATP6V0C,0.6091954188813862,8.852256369930414,0.9374204355108877,0.9969179229480737,60.48979620633968,70.05086716893642
POLR2A,0.6260146062813075,8.822368133469228,0.9411725293132328,0.9968509212730319,60.63617693588122,69.96673782894769
RPS23P8,0.6641162905645874,8.816421562150756,0.9496147403685092,0.99678391959799,60.967783464159375,69.9499994335302
EHD2,0.8842270212264394,8.788017984159017,0.9738693467336683,0.996716917922948,62.88345088423657,69.87004910682334
ACTA2,2.047543605926099,8.754519715414228,0.9968509212730319,0.9966499162479062,73.00802624611754,69.77575825617632
GALNT18,2.3529586035641534,8.750490598646456,0.9977889447236181,0.9965829145728643,75.66611364975712,69.76441710746553
ND4L,0.6545899584174517,8.742479563053823,0.948140703517588,0.9965159128978225,60.884873902811655,69.74186766270621
MCM5,0.6437647407875016,8.731358399579856,0.9452596314907873,0.9964489112227806,60.79065988304721,69.71056383706275
CAD,0.707407079914649,8.715706089521603,0.9560469011725293,0.9963819095477386,61.34455180479399,69.66650575032318
IFRD2,0.6441527761231907,8.688385358596841,0.9455276381909548,0.9963149078726968,60.79403703166775,69.58960341907674
APLP1,1.1722062359362015,8.641938050217734,0.986532663316583,0.9962479061976549,65.38979120494733,69.45886364112891
TECR,0.9284427306707022,8.62020312479798,0.9768844221105528,0.9961809045226131,63.26826898821215,69.39768422250906
OGDH,0.7961303257499539,8.581805704369451,0.966499162479062,0.9961139028475712,62.116727840642525,69.28960325084928
ALDOA,0.5975435513416176,8.57975330444743,0.9349413735343384,0.9960469011725294,60.38838768817306,69.28382616021842
CERS1,1.0919881163063565,8.57857857639886,0.9841206030150754,0.9959798994974874,64.69163697224512,69.28051953838009
ACTN1,0.6959855872335989,8.563371760657002,0.9547738693467337,0.9959128978224455,61.24514828479318,69.23771542802871
STK10,0.6289565522519824,8.53627092784611,0.9419095477386935,0.9958458961474037,60.66178127616351,69.16143206549287
ARRB1,1.0061240141999868,8.51118545582447,0.9803685092127303,0.9957788944723618,63.94434463231804,69.09082153592124
MAP1S,0.6836999252937437,8.461998241661073,0.9533668341708542,0.99571189279732,61.13822372804171,68.95236947740567
MGC12916,0.839012576475421,8.460368086905058,0.9692462311557789,0.995644891122278,62.4899405884597,68.9477809215074
CHRDL1,1.446174463514951,8.457802901696306,0.9922948073701843,0.9955778894472361,67.77419112098406,68.94056044401816
POP7,0.5803579290955483,8.44941007463295,0.929715242881072,0.9955108877721943,60.23881780336302,68.91693633349573
CORO7,0.6444331346309387,8.420242959928153,0.9456616415410385,0.9954438860971524,60.79647704746171,68.83483680538617
RPTOR,0.6430851559869639,8.411008043069865,0.9451926298157454,0.9953768844221106,60.78474532150969,68.8088423824249
SPTBN2,0.858961678529246,8.401068813764834,0.9715912897822445,0.9953098827470687,62.66356158707889,68.78086546239099
PLTP,1.1155664029903978,8.397773576667422,0.9851926298157454,0.9952428810720269,64.89684348573968,68.77159003650658
TUFM,0.7379622752914479,8.372347003768905,0.959463986599665,0.9951758793969849,61.61047974079884,68.7000193769628
TMCO6,0.6242184037246812,8.355487870588618,0.9408375209380234,0.995108877721943,60.62054422816523,68.6525643272451
NDUFS6,0.8404818301467687,8.35423728045729,0.9693802345058626,0.9950418760469012,62.50272779506961,68.64904416898881
EPN1,0.6173932001080908,8.308420765975264,0.9391624790619766,0.9949748743718593,60.56114312507326,68.5200799482673
SAMD1,0.7160098461500937,8.298486795093746,0.9569849246231156,0.9949078726968175,61.41942338852018,68.49211782963194
CCDC69,0.9748023228412865,8.2853321321509,0.978961474036851,0.9948408710217755,63.67174572949692,68.45509011431012
SYDE1,0.6577454836272736,8.259734670763676,0.9484757118927973,0.9947738693467336,60.91233706564571,68.38303843823714
TCOF1,0.6810688296591758,8.259298685365408,0.9528308207705193,0.9947068676716918,61.11532477999363,68.38181122753005
FLII,0.5597783336816544,8.254141765531593,0.9247571189279732,0.9946398659966499,60.0597094957661,68.36729554131495
ITPK1,0.7893365144657585,8.245980110902279,0.9658961474036851,0.9945728643216081,62.057599951256336,68.3443221344339
ATP6V0D1,0.5741654126990392,8.22139425494532,0.9283082077051926,0.9945058626465662,60.184923102848344,68.27511792302438
WWP2,0.6109199576114035,8.2183512387170925,0.9376884422110553,0.9944388609715243,60.50480520953467,68.26655244786868
SFN,0.8742098446175399,8.208583791925593,0.9732663316582915,0.9943718592964824,62.79626940601819,68.23905906086303
TRPV3,1.7649735329445253,8.197893750528483,0.9952428810720269,0.9943048576214405,70.54876276054387,68.20896875666061
BASP1,1.0795463838734296,8.191789186840397,0.9836515912897822,0.9942378559463987,64.58335410298469,68.19178564468058
LMAN2,0.6630806161173384,8.157814123281165,0.9493467336683417,0.9941708542713568,60.9587697836794,68.09615271307469
FAM83H,1.590284266185177,8.1464335575898,0.9935678391959799,0.994103852596315,69.02840736504903,68.0641187226599
ITGB2-AS1,1.4738613219593681,8.105233400486279,0.9926298157453937,0.994036850921273,68.01515535079137,67.94814861418418
RNF26,0.5918692436987287,8.09579587682027,0.9333333333333333,0.9939698492462311,60.339003061397754,67.92158389404152
TNFRSF25,1.0776741201303208,8.029588329298257,0.9835175879396985,0.9939028475711893,64.56705941965106,67.73522303991307
NME4,0.7835203246639715,8.026946925153522,0.9653601340033501,0.9938358458961474,62.006980495863296,67.72778802153624
UBE2C,0.5952803958360366,8.018689333074924,0.9342713567839196,0.9937688442211056,60.36869099616913,67.70454457014121
SYNPO,1.0702582110674617,8.002480243991199,0.9831825795644891,0.9937018425460636,64.50251728970012,67.65891926306753
MCM2,0.5851702595695567,7.994919248580425,0.9317252931323283,0.9936348408710218,60.280700471581795,67.63763659038818
TMEM175,0.7300057125502462,7.988358392246717,0.9585259631490787,0.9935678391959799,61.54123219446937,67.61916910690744
UPF1,0.5733575148899135,7.980924571205669,0.9281742043551089,0.993500837520938,60.17789180770412,67.59824440435465
AXIN1,0.6197253869501562,7.980107521946823,0.9396984924623115,0.9934338358458962,60.581440610513624,67.5959445759598
SDK1,1.2011936637657263,7.969794158047642,0.9872696817420435,0.9933668341708543,65.64207454850757,67.56691454272152
SLC12A7,1.270186252980872,7.949020207687008,0.9888107202680066,0.9932998324958124,66.24253075974639,67.50844007451165
LSR,2.9312954307076518,7.946948455581424,0.9991289782244556,0.9932328308207705,80.69949395910533,67.50260851139855
ADGRE5,0.64105696040642,7.9373011354175915,0.9447236180904522,0.9931658291457286,60.76709353241468,67.47545325655113
IFI30,0.8740064551868172,7.926049387303085,0.9731993299832495,0.9930988274706868,62.79449926739365,67.44378186155858
FADS3,0.8484219206372439,7.910634350522442,0.9702512562814071,0.9930318257956449,62.57183198012834,67.40039165110097
PPP1R14B,0.5731246698848578,7.906268383156578,0.928107202680067,0.992964824120603,60.17586531136397,67.38810233609307
LINC00707,2.8495445789377083,7.90411723645435,0.9987939698492462,0.9928978224455611,79.98800005406791,67.38204729324995
RANGAP1,0.5958673950522622,7.896370420559134,0.934606365159129,0.9928308207705193,60.37379976697168,67.36024157349378
PRKCSH,0.6621611618523762,7.858732651425335,0.9491457286432161,0.9927638190954774,60.95076759053624,67.25429886657005
YIF1A,0.5786288543051326,7.849641345837042,0.9293802345058626,0.9926968174204355,60.22376932193316,67.22870868028483
FAM110A,0.7024333799916258,7.8068172215591245,0.955644891122278,0.9926298157453937,61.30126470619991,67.10816743270149
RASGRF1,0.9394961835914888,7.787319112520187,0.9773534338358459,0.9925628140703517,63.36446938505803,67.05328419974111
CSPG4,0.84464795531329,7.785715559723956,0.969782244556114,0.9924958123953099,62.53898641011064,67.04877052297871
ALKBH4,0.6295071294846091,7.754880376483515,0.942110552763819,0.992428810720268,60.66657305920656,66.96197571935024
NHP2,0.5771518328731728,7.747799204169466,0.9289112227805695,0.9923618090452261,60.21091451095938,66.94204365163186
TKT,0.5281240898982347,7.719173654060975,0.9157788944723618,0.9922948073701843,59.78421632312184,66.8614685183158
TAX1BP3,0.7792968202262385,7.708373020813816,0.964891122278057,0.9922278056951424,61.97022249762492,66.83106692042549
MTSS2,0.5756613954161001,7.698261354863559,0.928643216080402,0.9921608040201005,60.19794293765356,66.80260462611494
CDIP1,0.6385226251640739,7.694687514615993,0.9442546063651591,0.9920938023450586,60.74503670928425,66.79254498871735
LINC01128,1.295599036757324,7.690269215719085,0.9894807370184254,0.9920268006700167,66.46370326591013,66.78010837103491
CCND1,0.8354777756715173,7.688643547240598,0.9689782244556114,0.9919597989949749,62.4591765147767,66.77553244310043
ADCY9,0.8207953403121011,7.674931375867245,0.9683752093802345,0.991892797319933,62.33139236276899,66.73693545431686
TLE2,2.0089534181130335,7.669426696195881,0.9966499162479062,0.9918257956448912,72.67216817456482,66.72144089450225
VARS1,0.7231625862436619,7.662410810526148,0.9577219430485762,0.9917587939698492,61.48167510664554,66.70169259548175
TTC7B,0.8531878377748985,7.6528253628946175,0.970787269681742,0.9916917922948074,62.613310703859526,66.67471149929749
EVPL,0.5723801542641578,7.635674723091163,0.9279061976549414,0.9916247906197655,60.16938564399826,66.62643591740014
PDE9A,3.6604914693413297,7.633022723550252,0.9997989949748743,0.9915577889447236,87.04583195843662,66.61897107512625
BAIAP2,0.6209988953491878,7.611437925446482,0.9402345058626466,0.9914907872696818,60.59252420712831,66.55821423453385
SH3TC1,1.1326590903259086,7.607228313639875,0.9857956448911223,0.9914237855946398,65.04560453955902,66.5463650287984
SEMA3B,0.8810935365109032,7.542276092000502,0.9736013400335009,0.991356783919598,62.85617954420325,66.36353766310827
DRAM1,0.9205304249032924,7.523856168548042,0.9762814070351759,0.9912897822445561,63.19940661911847,66.31168930448361
STIMATE,0.6144542786342777,7.513033824178342,0.9384254606365159,0.9912227805695142,60.53556510758805,66.28122659417495
SH3BGRL3,0.6227463380875076,7.504773018646376,0.940502512562814,0.9911557788944724,60.607732548458074,66.25797409755869
HNRNPA0,0.5245755651121344,7.497740528186634,0.9147068676716917,0.9910887772194305,59.75333280689513,66.23817905941306
ARMC6,0.5759397466432619,7.48850482774142,0.9287102177554439,0.9910217755443886,60.20036548368577,66.21218243081309
CCDC124,0.6210726834447229,7.481884355851834,0.9403685092127303,0.9909547738693467,60.59316639958381,66.19354714160129
PUF60,0.6002779152157549,7.473683968428506,0.9355443886097152,0.9908877721943049,60.41218540022722,66.17046470973976
PRKCZ,2.46069216972913,7.424350525777503,0.9980569514237856,0.990820770519263,76.60374028036439,66.03160104761
