Gene,MDA468_B2_24h_a,MDA468_B2_24h_b,MDA468_B3_24h_a,MDA468_B3_24h_b,MDA468_B6_24h_a,MDA468_B6_24h_b,MDA468_D_24h_a,MDA468_D_24h_b,MDA468_J_24h_a,MDA468_J_24h_b,MDA468_JB2_24h_a,MDA468_JB2_24h_b,MDA468_JB3_24h_a,MDA468_JB3_24h_b,MDA468_JB6_24h_a,MDA468_JB6_24h_b
GPR78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPR83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GPR85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GPR88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR89A,26,15,15,36,32,23,5,15,8,7,16,14,13,11,11,14
GPR89B,18,7,9,12,9,11,4,10,5,10,14,15,8,11,7,16
GPR89P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPRASP1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1
GPRASP2,0,2,2,0,0,2,3,1,0,3,1,2,2,0,1,3
GPRC5A,143,86,240,345,277,335,47,68,101,129,154,211,150,159,86,127
GPRC5B,8,6,0,0,0,1,6,12,2,7,0,1,1,0,0,3
GPRC5C,15,19,6,20,13,36,14,10,3,4,7,8,10,4,12,12
GPRC5D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPRC5D-AS1,2,4,1,1,1,0,0,0,1,2,1,2,0,0,1,2
GPRC6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPRIN1,59,45,67,100,80,70,24,38,55,62,74,110,71,64,47,83
GPRIN2,27,10,5,4,5,6,17,26,13,12,3,4,5,6,1,2
GPRIN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPS1,872,736,645,952,724,784,518,831,626,796,674,1035,672,575,408,667
GPS2,3,15,7,8,5,9,10,7,3,12,16,29,4,10,9,14
GPS2P1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0
GPS2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
