Gene,HCC70_D_a,HCC70_J_a,HCC70_JB2_a,HCC70_JB3_a,HCC70_JB6_a,HCC70_B2_a,HCC70_B3_a,HCC70_B6_a,HCC70_D_b,HCC70_J_b,HCC70_JB2_b,HCC70_JB3_b,HCC70_JB6_b,HCC70_B2_b,HCC70_B3_b,HCC70_B6_b
RHEBP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHNO1,166,186,79,96,92,113,71,114,171,256,81,67,28,164,111,123
RHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RHOA,2503,2192,1694,1494,1605,2199,1298,1499,3238,2971,1448,1233,464,2853,1536,1974
RHOA-IT1,0,1,2,0,0,2,2,1,1,7,1,0,0,1,3,1
RHOB,33,62,73,73,139,40,29,28,40,117,114,54,47,63,32,51
RHOBTB1,40,13,3,0,3,6,9,8,39,23,1,3,1,18,5,11
RHOBTB2,47,39,12,16,16,40,29,24,75,40,9,14,7,62,45,32
RHOBTB3,416,258,22,32,46,128,37,68,368,373,32,11,9,178,75,84
RHOC,5448,4801,3383,2081,2529,4703,2627,3116,6139,8065,3401,2239,1005,7721,3322,4019
RHOD,1108,900,1031,690,883,1646,824,950,1518,1982,999,731,382,2277,1468,1039
RHOF,63,54,181,110,151,251,202,188,117,87,120,76,62,255,208,215
RHOG,293,173,183,177,319,180,146,156,328,304,127,133,112,427,132,225
RHOH,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
RHOJ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RHOQ,66,25,19,13,21,46,37,46,82,39,11,7,9,61,32,32
RHOQP1,4,2,2,6,2,6,2,6,5,1,2,2,4,10,6,3
RHOQP2,4,3,1,2,2,1,1,0,1,0,0,0,1,1,0,0
RHOQP3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
RHOT1,50,46,19,17,16,33,17,26,90,66,10,1,7,40,16,30
RHOT1P2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOT1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOT2,746,645,645,539,679,765,458,664,990,1002,519,407,265,957,557,776
RHOU,44,18,0,0,1,5,4,3,41,19,1,1,0,6,3,3
RHOV,1738,801,257,239,198,995,453,633,2589,891,216,124,85,962,565,693
RHOXF1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOXF1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOXF1P1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
RHOXF1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOXF1P3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOXF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOXF2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHPN1,104,118,46,21,28,65,24,23,163,188,36,17,5,93,26,23
RHPN1-AS1,3,8,1,1,2,1,1,1,9,12,0,0,1,3,3,6
RHPN2,296,238,140,182,165,272,151,238,415,356,160,117,48,309,202,260
RIBC1,4,2,3,0,2,3,1,2,2,3,1,3,0,4,2,3
RIBC2,72,23,27,25,36,51,46,77,63,40,19,21,20,66,62,73
RIC1,57,60,52,60,61,45,21,40,74,113,46,46,25,61,37,28
RIC3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RIC8A,438,346,313,251,246,462,341,367,602,433,263,171,101,478,387,380
RIC8B,32,32,28,46,47,34,25,37,47,57,20,18,19,46,38,56
